title,year,cast,director,rating,total_rating_count,genres
The Departed,2006,"Adam Masnyk, Tracey Paleo, Walter Y.F. Wong, Andrew Breving, Martin Sheen",Martin Scorsese,4.32 out of 5,1100854,"Crime, Thriller, Drama"
The Young Girls of Rochefort,1967,"Dorothée Blanck, Jane Darling, Bob Howe, Jacques Revaux, Tony Manning",Jacques Demy,4.32 out of 5,84480,"Romance, Comedy, Drama"
Monster,2023,"Haruto Kobayashi, Sakura Ando, Hinata Hiiragi, Kouga Yagishita, Ayu Kitaura",Hirokazu Kore-eda,4.32 out of 5,289170,"Thriller, Mystery, Drama"
Taste of Cherry,1997,"Afshin Khorshid Bakhtiari, Ahmad Ansari, Mir Hossein Noori, Abdolrahman Bagheri, Elham Imani",Abbas Kiarostami,4.32 out of 5,138870,Drama
Psycho,1960,"Francis De Sales, Walter Bacon, Alfred Hitchcock, Pat McCaffrie, Kit Carson",Alfred Hitchcock,4.32 out of 5,1007268,"Mystery, Thriller, Horror"
Funeral Parade of Roses,1969,"Shinnosuke Ikehata, Nagaharu Yodogawa, Yoshihiro Katô, Masahiro Shinoda, Yoshio Tsuchiya",Toshio Matsumoto,4.32 out of 5,54759,Drama
Raise the Red Lantern,1991,"Gong Li, Cui Zhigang, Kong Lin, Jin Shuyuan, Ding Weimin",Zhang Yimou,4.32 out of 5,40784,Drama
Mommy,2014,"Michael Rudder, Anne Dorval, Dominic Desnoyers, Alexandre Goyette, Huguette Gervais",Xavier Dolan,4.31 out of 5,215124,Drama
Tampopo,1985,"Ryutaro Otomo, Izumi Hara, Masahiko Tsugawa, Nobuo Nakamura, Rikiya Yasuoka",Jūzō Itami,4.31 out of 5,112426,Comedy
The 400 Blows,1959,"Laure Paillette, Jean-Luc Godard, Claude Mansard, Jean-François Bergouignan, Philippe de Broca",François Truffaut,4.31 out of 5,220957,Drama
Dog Day Afternoon,1975,"James Broderick, Marcia Jean Kurtz, Chu Chu Malave, Susan Peretz, Beulah Garrick",Sidney Lumet,4.31 out of 5,347740,"Crime, Drama, Thriller"
Pather Panchali,1955,"Subir Banerjee, Runki Banerjee, Kshirod Roy, Rampada Das, Haren Banerjee",Satyajit Ray,4.31 out of 5,52379,Drama
Wings of Desire,1987,"Susanne Vierkötter, Peter Werner, Hans Martin Stier, Bernard Eisenschitz, Scott Kirby",Wim Wenders,4.31 out of 5,140880,"Drama, Romance, Fantasy"
A Special Day,1977,"Benito Mussolini, Nicole Magny, Françoise Berd, Alessandra Mussolini, John Vernon",Ettore Scola,4.31 out of 5,31685,"Romance, Drama"
Werckmeister Harmonies,2000,"Gyula Pauer, Józsi Mihályfi, János Derzsi, Enikő Börcsök, Irén Szajki",Béla Tarr,4.31 out of 5,32933,Drama
Das Boot,1981,"Norbert Gronwald, Joachim Bernhard, Herbert Grönemeyer, Ralf Richter, Rita Cadillac",Wolfgang Petersen,4.31 out of 5,83154,"Drama, War, History"
M,1931,"Ernst Stahl-Nachbaur, Friedrich Gnaß, Rosa Valetti, Gerhard Bienert, Peter Lorre",Fritz Lang,4.31 out of 5,170357,"Thriller, Drama, Crime"
Dead Poets Society,1989,"Jonas Stiklorius, Melora Walters, James J. Christy, Norman Lloyd, Christine D'Ercole",Peter Weir,4.31 out of 5,1873411,Drama
Prisoners,2013,"Jane McNeill, Erin Gerasimovich, Katrina Despain, Kyla-Drew, Todd Truley",Denis Villeneuve,4.31 out of 5,1489361,"Thriller, Crime, Drama"
Rocco and His Brothers,1960,"Alessandra Panaro, Spiros Focás, Rocco Vidolazzi, Enzo Fiermonte, Gino Seretti",Luchino Visconti,4.31 out of 5,33645,"Romance, Drama"
Yojimbo,1961,"Jun Ōtomo, Naoya Kusakawa, Atsushi Watanabe, Yutaka Sada, Hiroshi Tachikawa",Akira Kurosawa,4.30 out of 5,138023,"Thriller, Drama"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Frank Berry, Hal Galili, Jack Creley, James Earl Jones, Paul Tamarin",Stanley Kubrick,4.30 out of 5,482026,"Comedy, War"
Judgment at Nuremberg,1961,"Joseph Crehan, John Wengraf, Shep Houghton, Harold Miller, Virginia Christine",Stanley Kramer,4.30 out of 5,33304,"Drama, History"
Shoplifters,2018,"Lily Franky, Naoto Ogata, Kengo Kora, Haruna Hori, Chizuru Ikewaki",Hirokazu Kore-eda,4.30 out of 5,246234,"Drama, Thriller, Crime"
The Celebration,1998,"Søren Sögreni, Janne Thomsen, Ulrich Thomsen, Gulli Sejrsen, Dan Eilertsen",Thomas Vinterberg,4.30 out of 5,105745,Drama
Children of Men,2006,"Pam Ferris, Maurice Lee, Raymond Trickitt, Andrew Brooke, Somi De Souza",Alfonso Cuarón,4.30 out of 5,587161,"Action, Drama, Science Fiction, Thriller"
